"Quote_Id","Quote_Date","Quote_Flag","Field_info1","Field_info2","Field_info3","Field_info4","Coverage_info1","Coverage_info2","Coverage_info3","Sales_info1","Sales_info2","Sales_info3","Sales_info4","Sales_info5","Personal_info1","Personal_info2","Personal_info3","Personal_info4","Personal_info5","Property_info1","Property_info2","Property_info3","Property_info4","Property_info5","Geographic_info1","Geographic_info2","Geographic_info3","Geographic_info4","Geographic_info5"
56,"7/1/14",0,"B",0.9403,"935","N",8,22,"E",0,3,20,"P",51040,"N",4,"ZA",0,2,"N",0,"D",0,23,2,10,-1,"N","CA"
82,"25/9/14",0,"F",1.0006,"548","N",7,22,"E",1,3,20,"Q",27268,"N",-1,"ZN",0,,"N",0,"N",1,15,4,22,-1,"N","NJ"
158,"26/6/14",1,"F",1.0006,"548","N",21,22,"E",1,3,20,"Q",4948,"N",5,"ZR",0,,"Y",0,"R",1,25,4,22,-1,"N","NJ"
189,"22/6/14",0,"E",0.9392,"1,487","N",12,22,"F",1,5,11,"K",8589,"N",18,"XM",0,,"N",0,"J",1,10,9,24,-1,"N","IL"
220,"30/4/13",0,"B",0.9403,"965","N",9,22,"E",1,3,15,"P",55115,"N",4,"ZA",0,2,"N",0,"O",1,25,2,10,-1,"N","CA"
317,"30/1/13",0,"B",0.9219,"965","N",13,22,"J",1,5,23,"T",15113,"N",5,"ZA",0,2,"N",0,"R",0,11,2,12,-1,"N","CA"
343,"1/2/14",0,"F",0.9685,"548","N",7,22,"H",0,5,20,"R",27038,"N",-1,"XE",0,,"N",0,"R",1,8,4,19,-1,"N","NJ"
359,"24/8/13",0,"B",0.9403,"965","N",11,25,"J",1,4,24,"R",26195,"N",5,"ZA",0,2,"N",0,"O",0,25,2,9,-1,"N","CA"
373,"13/4/15",1,"B",0.9153,"935","N",5,22,"E",1,3,20,"P",15174,"N",6,"ZA",0,2,"Y",0,"O",1,8,2,10,-1,"N","CA"
399,"11/2/13",0,"E",0.9368,"1,480","N",4,25,"K",1,4,23,"K",58762,"N",1,"XB",0,,"N",0,"R",1,7,10,24,-1,"N","IL"
412,"13/7/14",0,"J",0.8928,"1,113","N",2,22,"F",1,4,11,"M",5229,"N",7,"ZA",0,2,"N",0,"J",0,1,5,7,-1,"N","TX"
431,"1/4/13",0,"B",0.9403,"965","N",3,22,"E",0,3,23,"K",62769,"N",5,"ZA",0,2,"N",0,"O",0,4,2,4,-1,"Y","CA"
478,"9/2/13",1,"F",0.9023,"564","N",9,25,"E",1,4,23,"K",2667,"N",5,"XD",0,,"N",0,"R",1,16,4,18,-1,"N","NJ"
486,"5/11/14",0,"B",0.9153,"935","N",19,22,"J",0,3,20,"T",54537,"N",13,"ZA",0,2,"N",0,"O",1,25,2,10,-1,"N","CA"
512,"13/3/13",1,"E",0.9375,"1,480","N",8,22,"F",1,4,23,"P",60695,"N",5,"XX",0,,"N",0,"R",1,10,10,23,-1,"N","IL"
534,"9/6/13",0,"F",0.9919,"564","N",9,25,"E",1,5,1,"M",37433,"N",-1,"XX",0,,"N",0,"R",1,15,4,17,-1,"N","NJ"
553,"11/4/15",0,"C",0.8746,"1,487","Y",3,22,"K",1,5,11,"R",48779,"N",6,"YH",0,,"N",0,"R",1,5,9,23,-1,"N","IL"
575,"11/4/14",0,"F",1.0006,"548","N",4,25,"E",1,5,20,"V",36347,"N",5,"ZN",0,2,"N",0,"H",1,8,4,17,-1,"N","NJ"
